Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
2025-07-21,2025,7,21,Monday,29,2025-29,704.49,714.66,703.45,710.64,9404400,0.012338769390538129,713.4635714285714,681.0140000000001
2025-07-22,2025,7,22,Tuesday,29,2025-29,713.85,714.26,699.12,702.51,8921100,-0.011445109433117606,712.4378571428571,683.1522
2025-07-23,2025,7,23,Wednesday,29,2025-29,704.06,712.3,702.63,711.25,8771600,0.012443133648112115,712.4385714285714,685.5752
2025-07-24,2025,7,24,Thursday,29,2025-29,714.71,721.26,711.67,712.46,10920800,0.0017097594880539635,712.1385714285714,687.0874
2025-07-25,2025,7,25,Friday,29,2025-29,714.58,718.3,709.57,710.35,8271700,-0.002965983538971262,711.7349999999999,688.2268
2025-07-28,2025,7,28,Monday,30,2025-30,712.86,722.37,710.35,715.29,8715700,0.006945712397139037,711.5185714285715,689.3986
2025-07-29,2025,7,29,Tuesday,30,2025-30,717.65,722.1,697.62,697.71,13267000,-0.024567036770302475,709.1842857142857,690.5272
2025-07-30,2025,7,30,Wednesday,30,2025-30,705.78,706.19,688.94,692.94,27077300,-0.006842771529794511,706.9042857142857,691.6308
2025-07-31,2025,7,31,Thursday,30,2025-30,772.67,782.19,763.01,770.91,38831100,0.11252713022888616,710.8857142857142,694.2919999999999
2025-08-01,2025,8,1,Friday,30,2025-30,758.24,763.5,742.88,747.56,19028700,-0.030293150531358504,712.9571428571428,696.5526
2025-08-04,2025,8,4,Monday,31,2025-31,757.52,774.31,755.93,773.83,15801700,0.03514608317979828,717.6542857142857,699.3703999999999
2025-08-05,2025,8,5,Tuesday,31,2025-31,773.91,780.57,760.51,760.97,11640300,-0.01662871262607568,721.9657142857143,701.9097999999999
2025-08-06,2025,8,6,Wednesday,31,2025-31,767.48,771.11,757.98,769.47,9733900,0.011172902063056656,726.9907142857143,704.8086
2025-08-07,2025,8,7,Thursday,31,2025-31,770.96,772.47,757.07,759.34,9019700,-0.013160820229135228,731.0878571428572,707.2008000000001
2025-08-08,2025,8,8,Friday,31,2025-31,760.26,767.38,756.1,766.79,7320800,0.009805364452043275,735.0985714285715,709.717
2025-08-11,2025,8,11,Monday,32,2025-32,767.56,770.93,762.17,763.37,7612000,-0.004458635635526287,739.4457142857143,712.1354000000001
2025-08-12,2025,8,12,Tuesday,32,2025-32,770.47,791.08,769.91,787.42,14563100,0.03150662084067646,744.8864285714286,714.9861999999999
2025-08-13,2025,8,13,Wednesday,32,2025-32,788.57,792.86,775.69,777.53,8811800,-0.012556859598377712,749.5342857142858,717.1729999999999
2025-08-14,2025,8,14,Thursday,32,2025-32,775.34,785.24,769.99,779.57,8116200,0.0026278194836533153,754.4785714285715,719.4812
2025-08-15,2025,8,15,Friday,32,2025-32,781.59,793.65,778.27,782.66,13375400,0.003963576590588103,759.2907142857142,721.4308
2025-08-18,2025,8,18,Monday,33,2025-33,772.56,773.28,754.09,764.86,16513700,-0.022744904150140632,764.0871428571429,723.0908000000001
2025-08-19,2025,8,19,Tuesday,33,2025-33,764.61,764.66,746.91,749.03,12286700,-0.02070714816832242,768.0935714285714,724.1734
2025-08-20,2025,8,20,Wednesday,33,2025-33,745.13,747.75,728.61,745.28,11898200,-0.005003411824583859,766.2628571428571,725.2538000000001
2025-08-21,2025,8,21,Thursday,33,2025-33,742.28,743.06,730.72,736.69,8876300,-0.01152840346242745,765.4864285714286,725.9962
2025-08-22,2025,8,22,Friday,33,2025-33,736.82,754.43,731.99,752.32,10612700,0.021228506887613907,763.95,727.2158000000001
2025-08-25,2025,8,25,Monday,34,2025-34,752.35,756.4,747.68,750.84,6861200,-0.0019740258054466997,763.2264285714285,728.4214
2025-08-26,2025,8,26,Tuesday,34,2025-34,748.35,752.4,745.5,751.64,7601800,0.0010619629015322651,761.9528571428572,729.8517999999999
2025-08-27,2025,8,27,Wednesday,34,2025-34,749.84,751.69,740.41,744.94,8315400,-0.008911301284989182,760.9242857142857,730.7539999999999
2025-08-28,2025,8,28,Thursday,34,2025-34,741.57,750.59,738.38,748.66,7468000,0.004990794400130838,759.6292857142856,731.8282
2025-08-29,2025,8,29,Friday,34,2025-34,742.85,744.7,732.95,736.29,9070500,-0.01652211514379931,757.6949999999999,732.684
2025-09-02,2025,9,2,Tuesday,35,2025-35,723.67,733.6,719.37,732.71,9350900,-0.004860020339335969,753.7871428571428,733.7358
2025-09-03,2025,9,3,Wednesday,35,2025-35,733.6,737.83,731.59,734.64,7699300,0.002639133885605993,750.7235714285714,734.5036
2025-09-04,2025,9,4,Thursday,35,2025-35,746.12,758.67,743.38,746.2,11439100,0.015738455538701013,748.34,735.2302000000001
2025-09-05,2025,9,5,Friday,35,2025-35,750.16,755.47,742.6,749.99,9663400,0.005075736482779147,746.0064285714286,736.1028
2025-09-08,2025,9,8,Monday,36,2025-36,753.53,764.01,749.56,749.84,13087800,-0.0001994650495484862,744.9335714285714,736.6252000000001
2025-09-09,2025,9,9,Tuesday,36,2025-36,755.02,763.8,750.97,763.2,10999000,0.017812176649126155,745.9457142857144,737.2646
2025-09-10,2025,9,10,Wednesday,36,2025-36,762.63,763.2,748.55,749.52,12478300,-0.017918233534433003,746.2485714285714,737.5414
2025-09-11,2025,9,11,Thursday,36,2025-36,752.18,754.63,745.93,748.45,7923300,-0.0014362153295323088,747.0885714285714,738.173
2025-09-12,2025,9,12,Friday,36,2025-36,746.28,755.1,741.33,753.12,8248600,0.006245761996582333,747.1457142857143,739.0106
